name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims,date,os
Galaxy J6 Dual SIM - 32Go HDD - 3Go RAM - 13MP - Bleu - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,99900.0,10001.0,2.0,64.0,5.7,bleu,2.0,15.0,2,Sun May 26 21:19:34 2019,android
Galaxy S8 64Go HDD- 4Go RAM- 5.8' - Noir + Pochette,Samsung,220000.0,99.0,3.0,32.0,5.5,noir,0.0,12.0,1,Sun May 26 21:19:36 2019,android
iPhone 5S 32Go HDD - Gris - 12 Mois + Pochette + Protège Ecran Offerts,Apple,89900.0,49.0,3.0,32.0,6.0,gris,5.0,12.0,1,Sun May 26 21:19:37 2019,ios
Galaxy S7 Edge 32Go HDD - 4Go RAM - Or - Pochette + Protège Écran Offerts,Samsung,148400.0,49.0,2.0,32.0,4.7,or,5.0,5.0,1,Sun May 26 21:19:39 2019,android
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Noir",Infinix,88000.0,10001.0,2.0,64.0,6.2,noir,5.0,16.0,2,Sun May 26 21:19:40 2019,android
"iPhone X - 64 Go HDD - 3 Go RAM - 5,8"" - Noir - 12 Mois",Apple,500000.0,49.0,3.0,32.0,5.5,noir,5.0,12.0,1,Sun May 26 21:19:42 2019,ios
Galaxy S6 Edge - 32Go HDD - RAM 3Go - Or - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,124900.0,101.0,4.0,32.0,6.2,or,5.0,13.0,1,Sun May 26 21:19:44 2019,android
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Voilet",Infinix,86000.0,10001.0,4.0,8.0,6.0,voilet,8.0,12.0,2,Sun May 26 21:19:45 2019,android
A11 Dual SIM 8Go HDD - 512 Mo - Or - 13 Mois,ITEL,23000.0,10001.0,1.0,16.0,4.5,or,2.0,17.0,2,Sun May 26 21:19:47 2019,android
E561 Dual SIM - 16Go HDD - 2Go RAM - Marron + Pochette Offert - 12 Mois de Garantie,COOLPAD,42900.0,10001.0,4.0,32.0,6.0,marron,7.0,12.0,2,Sun May 26 21:19:48 2019,android
K5 Play Dual SIM - 32Go HDD - 3Go RAM - 13+2MP - Bleu - 12 Mois + Pochette Offert,Lenovo,74900.0,10001.0,2.0,64.0,5.9,noir,13.0,5.0,2,Sun May 26 21:19:50 2019,android
Redmi Note 6 Pro Dual SIM - 64Go HDD - 4Go RAM - 12MP+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,144900.0,101.0,6.0,32.0,5.0,noir,8.0,12.0,2,Sun May 26 21:19:51 2019,android
Galaxy S7 Edge 32Go HDD - 4Go RAM - Or - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,154900.0,101.0,2.0,4.0,6.2,or,1.2,8.0,1,Sun May 26 21:19:53 2019,android
OK-LX6 Dual SIM - 4Go - 1Go RAM - Rose - 12 Mois,Oking,28900.0,99.0,4.0,32.0,5.6,rose,5.0,8.0,2,Sun May 26 21:19:54 2019,android
Galaxy S6 Edge 32 Go HDD - Noir + Pochette Et Ecran de Protection - 12 Mois,Samsung,117000.0,10001.0,4.0,32.0,5.5,noir,8.0,12.0,1,Sun May 26 21:19:56 2019,android
Galaxy S7 Edge 32Go HDD - Or - 24 Mois,Samsung,159300.0,99.0,1.0,128.0,6.0,or,2.0,18.0,1,Sun May 26 21:19:57 2019,android
Samsung Galaxy J4 Plus Dual SIM - 32Go HDD - 2Go RAM - 13MP - Noir - 12 Mois + Pochette + Protège Ecran Offerts,Samsung,89900.0,10001.0,1.0,128.0,5.7,noir,8.0,13.0,2,Sun May 26 21:20:00 2019,android
Galaxy S8 Dual SIM 64 Go HDD - Or,Samsung,220000.0,49.0,6.0,128.0,5.0,or,2.0,17.0,2,Sun May 26 21:20:02 2019,android
Mi 8 Lite Dual SIM 128Go HDD - 6Go RAM - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,189900.0,10001.0,3.0,64.0,5.5,noir,8.0,12.0,2,Sun May 26 21:20:03 2019,android
"iPhone 7 - 128Go HDD - 2Go RAM - 4,7"" - Rouge - 6 Mois",Apple,250000.0,10001.0,1.0,16.0,6.3,rouge,5.0,5.0,1,Sun May 26 21:20:05 2019,android
Redmi Note 7 Dual SIM 128Go HDD - 4Go RAM - 48+5MP - Noir + Pochette  Offert - 12 Mois de Garantie,Xiaomi,199900.0,101.0,2.0,16.0,6.0,noir,2.0,15.0,2,Sun May 26 21:20:10 2019,android
"Galaxy S8 Plus - 64Go HDD - 4Go RAM - 6,2"" - Or - 12 Mois + Pochette + Protège Ecran Offerts",Samsung,249900.0,99.0,4.0,64.0,5.5,or,0.0,12.0,1,Sun May 26 21:20:13 2019,android
iPhone 6 Plus - 16Go HDD - Blanc Et Or,Apple,162350.0,101.0,1.0,32.0,5.1,blanc et or,8.0,13.0,1,Sun May 26 21:20:15 2019,ios
"OK-Smart18 - Dual SIM - 16Go HDD - 1 Go RAM - 5,5"" - Or - 12 Mois",Oking,36900.0,101.0,3.0,16.0,5.0,or,5.0,12.0,2,Sun May 26 21:20:16 2019,android
"Galaxy S8 Plus - 64 Go HDD - 6 Go RAM - 6,2'' - Or",Samsung,255000.0,10001.0,4.0,16.0,4.7,or,2.0,32.0,1,Sun May 26 21:20:18 2019,android
